Date,Price,Open,High,Low,Vol.,Change %
11/27/2019,"38,122.72","37,795.05","38,122.72","37,671.63",,0.87%
11/26/2019,"37,795.05","38,212.28","38,568.05","37,535.89",,-1.09%
11/25/2019,"38,212.28","37,925.79","38,293.08","37,839.03",,0.76%
11/22/2019,"37,925.79","37,101.31","37,948.37","36,953.96",,2.22%
11/21/2019,"37,101.31","38,037.68","38,096.56","37,033.45",,-2.46%
11/20/2019,"38,037.68","38,564.37","38,661.71","37,977.63",,-1.37%
11/19/2019,"38,564.37","38,411.56","38,911.46","38,393.61",,0.40%
11/18/2019,"38,411.56","37,583.89","38,452.73","37,583.89",,2.20%
11/15/2019,"37,583.89","37,243.20","37,634.75","37,225.61",,0.91%
11/14/2019,"37,243.20","37,166.96","37,507.02","37,130.01",,0.21%
11/13/2019,"37,166.96","36,765.56","37,289.41","36,481.03",,1.09%
11/12/2019,"36,765.56","36,803.10","37,171.04","36,672.22",,-0.10%
11/11/2019,"36,803.10","35,978.16","36,817.73","35,978.16",,2.29%
11/8/2019,"35,978.16","35,758.52","36,048.52","35,758.52",,0.61%
11/7/2019,"35,758.52","35,653.33","35,834.24","35,458.10",,0.30%
11/6/2019,"35,653.33","35,358.31","35,985.21","35,358.31",,0.83%
11/5/2019,"35,358.31","35,277.46","35,608.77","35,243.22",,0.23%
11/4/2019,"35,277.46","34,377.61","35,309.01","34,377.61",,2.62%
11/1/2019,"34,377.61","34,203.68","34,489.51","34,108.10",,0.51%
10/31/2019,"34,203.68","33,761.41","34,306.00","33,761.41",,1.31%
10/30/2019,"33,761.41","33,797.51","33,951.48","33,670.70",,-0.11%
10/29/2019,"33,797.51","33,861.59","34,016.55","33,715.97",,-0.19%
10/28/2019,"33,861.59","33,657.46","34,008.35","33,572.36",,0.61%
10/25/2019,"33,657.46","33,762.48","33,943.81","33,597.86",,-0.31%
10/24/2019,"33,762.48","33,439.69","33,862.64","33,439.69",,0.97%
10/23/2019,"33,439.69","33,198.96","33,639.76","33,198.96",,0.73%
10/22/2019,"33,198.96","33,084.73","33,240.10","32,960.65",,0.35%
10/21/2019,"33,084.73","33,870.15","33,885.47","33,074.86",,-2.32%
10/18/2019,"33,870.15","33,898.56","34,096.39","33,667.80",,-0.08%
10/17/2019,"33,898.56","34,281.09","34,361.45","33,836.97",,-1.12%
10/16/2019,"34,281.09","34,083.53","34,434.06","34,083.53",,0.58%
10/15/2019,"34,083.53","34,186.26","34,259.23","33,929.19",,-0.30%
10/14/2019,"34,186.26","34,475.69","34,697.34","34,124.81",,-0.84%
10/11/2019,"34,475.69","34,027.70","34,689.30","34,027.70",,1.32%
10/10/2019,"34,027.70","33,523.74","34,047.11","33,523.74",,1.50%
10/9/2019,"33,523.74","33,476.62","33,604.16","33,339.32",,0.14%
10/8/2019,"33,476.62","33,636.82","33,872.18","33,409.12",,-0.48%
10/7/2019,"33,636.82","33,033.32","33,850.96","32,947.22",,1.83%
10/4/2019,"33,033.32","32,752.26","33,053.79","32,699.24",,0.86%
10/3/2019,"32,752.25","32,363.35","32,833.54","32,279.86",,1.20%
10/2/2019,"32,363.35","32,254.32","32,388.73","32,180.71",,0.34%
10/1/2019,"32,254.32","32,078.85","32,290.39","32,002.11",,0.55%
9/30/2019,"32,078.85","32,070.81","32,395.09","31,929.62",,0.03%
9/27/2019,"32,070.81","31,433.89","32,085.73","31,368.81",,2.03%
9/26/2019,"31,433.89","31,565.21","31,592.11","31,272.06",,-0.42%
9/25/2019,"31,565.21","31,829.24","31,867.79","31,472.02",,-0.83%
9/24/2019,"31,829.24","31,751.21","31,892.23","31,436.22",,0.25%
9/23/2019,"31,751.21","32,111.10","32,147.65","31,710.00",,-1.12%
9/20/2019,"32,111.10","32,184.03","32,332.73","32,055.30",,-0.23%
9/19/2019,"32,184.03","31,555.47","32,235.29","31,475.00",,1.99%
9/18/2019,"31,555.47","31,908.92","31,908.92","31,508.75",,-1.11%
9/17/2019,"31,908.92","31,928.55","32,106.19","31,769.98",,-0.06%
9/16/2019,"31,928.55","31,481.31","31,954.56","31,481.31",,1.42%
9/13/2019,"31,481.31","31,546.61","31,630.07","31,279.83",,-0.21%
9/12/2019,"31,546.61","30,954.83","31,846.68","30,950.85",,1.91%
