Date,Price,Open,High,Low,Vol.,Change %,Daily_Return,Volatility_30d
2025-07-18,138597.36,139600.23,140585.39,138343.73,256320000.0,-0.05,-0.04913983651305687,1.4539509442357679
2025-07-21,138217.58,139142.17,139201.16,138149.56,221760000.0,-0.27,-0.2740167633784596,1.4561449488180973
2025-07-22,139419.63,138197.81,139901.78,138197.81,245770000.0,0.87,0.8696795299121929,1.4580647348893356
2025-07-23,139254.36,139966.08,140202.19,139105.05,193420000.0,-0.12,-0.11854141342938496,1.4352098248481204
2025-07-24,138692.67,139501.61,139867.83,138614.09,272660000.0,-0.4,-0.4033554137909734,1.438435684092523
2025-07-25,139207.3,138876.06,139436.77,138808.64,190960000.0,0.37,0.3710578215849303,1.3904403920486232
2025-07-28,139380.06,139759.59,140149.23,139195.84,213990000.0,0.12,0.12410268714357908,1.3899422010505136
2025-07-29,137964.81,139733.06,140331.02,137636.38,212750000.0,-1.02,-1.0153891453339892,1.4107415892437938
2025-07-30,138412.25,138141.59,139018.88,137658.81,167690000.0,0.32,0.32431458427695237,1.375960449788167
2025-07-31,139390.42,139379.14,140215.22,139083.73,291210000.0,0.71,0.7067076794142313,1.3669007486101974
2025-08-01,141034.98,139634.91,141160.94,138957.7,304550000.0,1.18,1.179822831439914,1.3689447532775754
2025-08-04,142052.66,141962.94,142323.34,141440.48,349230000.0,0.72,0.7215798520338712,1.1702907424966207
2025-08-05,143037.17,142235.7,143281.34,142235.7,262320000.0,0.69,0.6930598835671375,0.7942388435016404
2025-08-06,145088.5,143409.59,145187.17,143409.59,383510000.0,1.43,1.434123731614645,0.8109003422140195
2025-08-07,145647.14,145793.06,146081.03,145250.19,326590000.0,0.39,0.3850339620300902,0.7825650367287013
2025-08-08,145382.8,145999.41,146813.44,144917.19,276740000.0,-0.18,-0.18149343680901042,0.7538396296194432
2025-08-11,146929.84,145650.33,147005.19,145258.5,299280000.0,1.06,1.0641148746619367,0.7552467956018131
2025-08-12,147005.31,147467.44,147976.98,146894.63,331790000.0,0.05,0.051364651319296684,0.7027085955823519
2025-08-13,146529.31,147334.3,147892.25,146417.8,298880000.0,-0.32,-0.32379782743902075,0.6779624503952499
2025-08-15,146491.63,146713.84,147534.41,146269.59,187000000.0,-0.03,-0.025714991765124484,0.6819103128144426
2025-08-18,148196.42,146679.73,148395.72,146403.66,229070000.0,1.16,1.1637456692918269,0.6886579983361404
2025-08-19,149770.75,148464.55,150323.39,148293.94,340190000.0,1.06,1.0623266068100712,0.6881581210108829
2025-08-20,150591.0,150106.16,151261.67,149931.69,275220000.0,0.55,0.5476703561943852,0.6852141629072374
2025-08-21,149235.27,150948.94,151249.63,148272.58,426270000.0,-0.9,-0.9002729246767815,0.7014525424882108
2025-08-22,149493.06,149659.84,150465.17,149448.94,335530000.0,0.17,0.17274066646577602,0.6957984788802024
2025-08-25,148815.31,149828.16,150079.77,148757.14,210520000.0,-0.45,-0.4533655274699733,0.711950245061334
2025-08-26,148435.06,149096.34,149453.19,148312.58,161930000.0,-0.26,-0.2555180646399924,0.6762757248597181
