Date,Price,Open,High,Low,Vol.,Change %,Log_Return,SPY_Log_Return,EEM_Log_Return,VIX_Level,VIX_Change,Days_Since_Last_Trade,Is_Post_Holiday,Is_IMF_Event,IMF_3Day_Window
9/30/2025,165493.59,"164,354.55","166,556.30","164,208.34",629.99M,1.00%,0.009995186,0.002806448,0.00906523,16.12000084,0.830000877,1,0,0,0
10/1/2025,165640.34,"166,176.66","166,522.61","164,155.31",1.00B,0.09%,0.000886348,0.003759769,0.00394037,16.28000069,0.159999847,1,0,0,0
10/2/2025,168489.63,"166,079.48","168,619.31","165,567.22",776.26M,1.72%,0.017055394,0.003401777,0.007834392,16.29000092,0.010000229,1,0,0,0
10/3/2025,168990.06,"169,041.41","169,988.63","168,613.41",831.08M,0.30%,0.002965692,0.001151117,0.004634332,16.62999916,0.339998245,1,0,0,0
10/6/2025,167752.41,"169,178.98","169,326.34","165,997.38",623.77M,-0.73%,-0.007350754,-1.48E-05,0.002954738,16.64999962,0.020000458,3,1,0,0
10/7/2025,166173.75,"168,299.20","168,518.97","165,997.20",629.74M,-0.94%,-0.009455215,0.003579834,0.004599446,16.37000084,-0.279998779,1,0,0,0
10/8/2025,165266.75,"166,360.55","166,947.20","165,109.84",554.83M,-0.55%,-0.005473093,-0.003714402,-0.007739114,17.23999977,0.869998932,1,0,0,0
10/9/2025,164530.81,"165,526.94","166,729.97","164,306.77",698.87M,-0.45%,-0.004462988,0.005945387,0.007922689,16.29999924,-0.940000534,1,0,0,0
10/10/2025,163098.19,"163,984.81","165,262.86","162,411.27",607.60M,-0.87%,-0.008745435,-0.002901235,-0.010330327,16.43000031,0.130001068,1,0,0,0
10/13/2025,158443.42,"161,403.91","161,988.13","157,678.02",686.33M,-2.85%,-0.028954854,-0.02739979,-0.037597739,21.65999985,5.229999542,3,1,0,0
10/14/2025,165476.02,"160,821.73","165,866.78","160,821.73",586.85M,4.44%,0.043428732,0.015227563,0.028657455,19.03000069,-2.629999161,1,0,0,0
